Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,40000
Other,Riyadh,Other,Automatic,Saudi,Full,2019,2.0,60000,114000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,158039,75000
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
Range Rover,Jeddah,Land Rover,Automatic,Saudi,Full,2014,2.0,48000,100000
Other,Riyadh,Mitsubishi,Manual,Saudi,Standard,2014,2.0,120000,23000
Optima,Taef,Kia,Manual,Other,Standard,2006,1.3,290000,6000
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,173000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Semi Full,2017,5.7,55000,153000
3,Jeddah,Mazda,Automatic,Saudi,Standard,2018,1.6,105000,38000
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2017,4.0,89000,118000
Taurus,Dammam,Ford,Automatic,Other,Full,2015,3.5,92000,72000
Camry,Tabouk,Toyota,Manual,Gulf Arabic,Full,2010,1.8,370,25000
Other,Hafar Al-Batin,Chrysler,Automatic,Saudi,Full,2015,6.4,200,115000
Yukon,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2011,8.0,320000,50000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,128000,32000
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2014,3.0,195000,170000
Fusion,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2015,2.5,118000,43000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.8,200,56000
Other,Dammam,Other,Automatic,Saudi,Full,2021,1.5,23000,75000
Navara,Jeddah,Nissan,Manual,Saudi,Full,2015,2.5,83000,45000
ES,Jeddah,Lexus,Automatic,Other,Full,2007,3.5,196000,25000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,5.3,68878,146500
Land Cruiser,Dammam,Toyota,Manual,Saudi,Semi Full,2002,4.0,3000,42000
Yaris,Qassim,Toyota,Automatic,Saudi,Semi Full,2017,1.5,179,35000
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2013,4.6,101000,150000
C,Dammam,Mercedes,Automatic,Other,Semi Full,2019,2.0,35000,145000
Malibu,Makkah,Generalis Motors,Automatic,Gulf Arabic,Standard,2013,2.5,168000,22000
Grand Cherokee,Jeddah,Jeep,Automatic,Saudi,Full,2014,5.8,270000,60000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,117313,32500
LX,Jeddah,Lexus,Automatic,Saudi,Full,2018,5.7,95000,355000
Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.4,139000,43000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,30000
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
Victoria,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,3.5,280000,26000
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,166000,28500
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.4,257000,28000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,28500
Victoria,Dammam,Ford,Automatic,Saudi,Semi Full,2015,4.6,130000,70000
Maxima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2017,3.5,56000,78000
Accent,Hafar Al-Batin,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,51000,35000
Suburban,Dammam,Generalis Motors,Automatic,Saudi,Standard,2015,5.3,201000,105000
Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,39000
The 7,Abha,BMW,Automatic,Saudi,Full,2003,2.0,106000,34000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2018,5.7,70000,123000
Other,Riyadh,Dodge,Automatic,Saudi,Semi Full,2011,5.7,190000,40000
Maxima,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2010,3.0,280000,22000
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,172632,63000
Patrol,Qassim,Nissan,Automatic,Saudi,Full,1997,4.0,200000,17000
Marquis,Al-Medina,Ford,Automatic,Other,Full,2003,1.0,300,9000
Sierra,Dammam,Generalis Motors,Automatic,Saudi,Full,2021,9.0,100,178000
Armada,Jeddah,Nissan,Automatic,Saudi,Semi Full,2006,5.6,100000,12000
E,Dammam,Mercedes,Automatic,Gulf Arabic,Semi Full,2016,2.0,73000,125000
Expedition,Riyadh,Ford,Automatic,Saudi,Full,2020,3.5,5000,180000
Suburban,Makkah,Generalis Motors,Automatic,Saudi,Semi Full,2011,4.0,270,37000
Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,2013,4.6,350000,86000
Other,Riyadh,Other,Automatic,Saudi,Full,2019,3.7,19800,130000
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,138000,31000
H6,Riyadh,Other,Automatic,Saudi,Full,2020,1.5,9000,70000
Grand Marquis,Riyadh,Other,Automatic,Other,Full,2007,4.6,570000,24000
Patrol,Najran,Nissan,Automatic,Gulf Arabic,Semi Full,2019,4.0,72000,160000
Charger,Jeddah,Dodge,Automatic,Other,Full,2014,3.6,300000,35000
S,Riyadh,Mercedes,Automatic,Saudi,Full,2012,3.0,105,98000
Eado,Dammam,Changan,Automatic,Saudi,Full,2020,1.6,9061,50000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2013,5.3,362000,58000
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,86852,109000
Sonata,Tabouk,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,63000,60000
Other,Al-Ahsa,Other,Automatic,Other,Full,2016,2.0,91000,69000
GS,Riyadh,Lexus,Automatic,Saudi,Semi Full,2013,3.5,287000,85000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,235000,50000
Odyssey,Dammam,Honda,Automatic,Other,Standard,2009,3.5,200000,38000
Sportage,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,125000,65000
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2018,2.7,16700,72000
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,47000,29000
Explorer,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,150000,50000
Traverse,Dammam,Generalis Motors,Automatic,Other,Full,2016,3.5,154000,85000
VTC,Dammam,Nissan,Manual,Saudi,Semi Full,2000,4.8,490000,30000
Hilux,Najran,Toyota,Manual,Saudi,Full,2017,2.7,119000,69000
Silverado,Dammam,Generalis Motors,Automatic,Saudi,Standard,2018,5.3,57000,89000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,90000,57000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,129413,57500
Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,134007,70000
Sonata,Tabouk,Hyundai,Automatic,Gulf Arabic,Full,2018,2.0,79000,36000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.6,65000,57000
Altima,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2015,2.5,94000,37000
LX,Riyadh,Lexus,Automatic,Saudi,Full,2018,5.7,98000,365000
Other,Jeddah,Cadillac,Automatic,Saudi,Semi Full,2020,3.7,5800,155000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,105,425000
Land Cruiser,Tabouk,Toyota,Manual,Saudi,Full,1997,4.5,708000,25000
Duster,Riyadh,Renault,Automatic,Saudi,Standard,2018,2.0,53811,29500
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Full,2003,5.3,222000,27000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,93049,29500
Explorer,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,3.5,127000,88000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,6.0,75000,65000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,85000,141000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,84000,120000
H6,Jeddah,Other,Automatic,Saudi,Full,2020,2.0,2000,69000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.5,78276,41500
Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2018,3.5,128000,52000
Camry,Qassim,Toyota,Automatic,Other,Standard,2016,2.5,148254,59000
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.0,314000,95000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,93000,35000
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2019,4.6,52000,248000
Traverse,Dammam,Generalis Motors,Automatic,Other,Full,2016,3.4,154000,79000
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,73000,110000
Other,Jeddah,Hyundai,Automatic,Saudi,Full,2015,2.0,48000,47000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.4,62400,40000
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,220424,62000
Suburban,Aseer,Generalis Motors,Automatic,Saudi,Semi Full,2000,6.0,128000,80000
Suburban,Riyadh,Generalis Motors,Automatic,Saudi,Full,2006,5.3,86000,50000
Corolla,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,1.6,11000,63000
Sierra,Dammam,Generalis Motors,Automatic,Saudi,Full,2017,5.3,94000,117000
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.7,57482,69500
Ciocca,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2016,5.7,390,90000
Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,24516,56500
Durango,Jeddah,Dodge,Automatic,Saudi,Standard,2014,5.7,170000,44000
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2013,2.7,180000,45000
Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2017,3.5,179000,73000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2021,4.0,1519,175000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.3,363000,63000
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2018,3.8,60000,85000
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2019,5.3,40000,145000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
Other,Jeddah,Other,Automatic,Saudi,Full,2015,3.0,57000,180000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Full,2011,5.3,342000,55000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,32000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2014,5.3,382000,60000
Fusion,Dammam,Ford,Automatic,Other,Semi Full,2012,2.5,300000,18000
6,Dammam,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,50000
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2015,2.4,77000,53000
Carnival,Dammam,Kia,Automatic,Saudi,Semi Full,2016,3.3,243000,46000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,5.4,95000,72000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2019,5.3,33000,163000
Other,Jeddah,Toyota,Automatic,Saudi,Full,2019,1.5,40000,57000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,134000,36000
S,Dammam,Mercedes,Automatic,Saudi,Semi Full,2018,5.0,30000,335000
Patrol,Dammam,Nissan,Manual,Saudi,Standard,1992,4.6,357000,27000
Land Cruiser,Khobar,Toyota,Automatic,Saudi,Semi Full,2003,4.5,397000,34000
Charger,Makkah,Dodge,Automatic,Gulf Arabic,Standard,2021,3.5,1700,110000
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2017,2.5,240000,41000
Furniture,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,110000
Pajero,Al-Medina,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,200,60000
C,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2016,2.0,104000,110000
Victoria,Aseer,Ford,Automatic,Other,Full,2003,4.6,500,13000
X-Trail,Qassim,Nissan,Automatic,Saudi,Full,2018,2.5,86500,74000
Tucson,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,1.6,42000,75000
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59000,188000
Other,Jeddah,Jeep,Automatic,Saudi,Full,2014,2.4,217000,25000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Full,2013,5.3,206,77000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,50000,127000
G80,Riyadh,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,119000
Blazer,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2006,3.6,457000,10000
Accent,Al-Medina,Hyundai,Automatic,Saudi,Standard,2013,1.4,85000,16000
Tahoe,Al-Ahsa,Generalis Motors,Automatic,Saudi,Standard,2011,5.3,250000,40000
Other,Jeddah,Other,Automatic,Other,Semi Full,2015,1.8,89000,54000
Other,Riyadh,BMW,Automatic,Saudi,Semi Full,2015,2.0,88335,126500
Avalon,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,3.5,100000,87000
Patrol,Riyadh,Nissan,Automatic,Saudi,Semi Full,2013,5.6,442000,85000
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,35000
6,Jeddah,Mazda,Automatic,Saudi,Full,2019,2.5,50000,90000
Yukon,Al-Ahsa,Generalis Motors,Automatic,Gulf Arabic,Semi Full,1995,5.3,275000,18000
Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Standard,2014,2.5,130000,37000
Avalon,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2016,3.5,93000,75000
6,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,31000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,455000,455000
ES,Yanbu,Lexus,Automatic,Saudi,Full,2019,2.5,62000,195000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2015,1.6,160000,27500
Other,Jeddah,Other,Automatic,Saudi,Full,2020,3.7,2000,155000
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
Camry,Dammam,Toyota,Automatic,Saudi,Semi Full,2017,2.5,125000,53000
Grand Marquis,Al-Medina,Other,Automatic,Other,Full,2007,4.6,179000,24000
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,180000,28500
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,5.7,170000,150000
ES,Al-Baha,Lexus,Automatic,Saudi,Standard,2009,3.6,300000,43000
Other,Jeddah,Other,Automatic,Saudi,Full,2014,1.6,229000,18000
Camry,Riyadh,Toyota,Manual,Other,Full,2007,1.1,450000,11000
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2015,2.4,80000,45000
Other,Najran,Other,Automatic,Gulf Arabic,Full,1990,3.7,15800,50000
Other,Jeddah,Mitsubishi,Manual,Saudi,Standard,2020,2.5,197,71000
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2014,5.0,131000,230000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,56000,50000
Cerato,Jeddah,Kia,Automatic,Other,Full,2016,2.0,89000,40000
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2011,2.7,325,32000
Elantra,Qassim,Hyundai,Automatic,Other,Full,2016,1.6,101715,52000
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2001,4.6,390000,35000
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,182774,62000
Vego,Jeddah,Ford,Automatic,Saudi,Standard,2019,1.5,51419,27500
Prado,Aseer,Toyota,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
Mustang,Makkah,Ford,Manual,Other,Full,2015,5.0,111000,92999
Range Rover,Al-Ahsa,Land Rover,Automatic,Other,Full,2016,4.3,87000,167000
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2017,4.6,200000,180000
ES,Riyadh,Lexus,Automatic,Other,Semi Full,2017,3.5,96906,116000
IS,Dammam,Lexus,Automatic,Other,Full,2015,2.2,94000,102000
Other,Jeddah,Hyundai,Manual,Saudi,Full,2016,3.0,44000,97000
Other,Dammam,Other,Automatic,Saudi,Full,2016,3.0,86000,158000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.4,106000,56000
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2017,2.5,95000,78000
Tahoe,Aseer,Generalis Motors,Automatic,Other,Full,2008,3.9,300,29000
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2010,1.4,147000,29000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,145000,38000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2011,5.3,200000,42000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2016,3.0,72000,108000
6,Dammam,Mazda,Automatic,Saudi,Standard,2006,1.6,288000,11000
Prado,Khobar,Toyota,Automatic,Saudi,Semi Full,2018,4.0,74000,150000
Range Rover,Qassim,Land Rover,Automatic,Gulf Arabic,Semi Full,2015,5.0,103000,225000
Silverado,Dammam,Generalis Motors,Automatic,Gulf Arabic,Standard,2016,5.3,143000,87000
Accord,Taef,Honda,Automatic,Saudi,Semi Full,2018,2.4,119041,70000
Furniture,Jeddah,Toyota,Automatic,Saudi,Full,2013,2.7,182000,68500
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,126000,260000
Corolla,Jeddah,Toyota,Automatic,Other,Semi Full,2017,1.6,75000,55000
Marquis,Jeddah,Ford,Automatic,Saudi,Semi Full,2005,4.6,270000,15000
Other,Aseer,Ford,Manual,Saudi,Full,2015,3.2,145000,65000
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,2.4,183000,70000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,55000,56000
The 7,Riyadh,BMW,Automatic,Saudi,Semi Full,2018,6.8,18000,230000
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2020,3.0,11500,510000
Other,Riyadh,Hyundai,Automatic,Other,Standard,2017,3.8,128000,83000
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,110448,30000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,45000
E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,121929,128500
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2016,3.5,126000,64000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,89685,34500
Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
Other,Hail,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,17000
Suburban,Riyadh,Generalis Motors,Automatic,Saudi,Full,2011,5.3,282000,60000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.5,77556,41500
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,143021,30000
H1,Dammam,Hyundai,Automatic,Saudi,Full,2018,2.4,74000,77000
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.0,40000,132000
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2020,5.0,26000,575000
Land Cruiser,Hail,Toyota,Manual,Gulf Arabic,Full,2013,1.0,378000,75000
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.7,400000,60000
Other,Khobar,Other,Automatic,Saudi,Standard,2016,3.6,121,160000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,106007,26800
Other,Makkah,Toyota,Automatic,Saudi,Semi Full,2021,1.5,10000,55000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,201000,107000
Other,Dammam,Other,Automatic,Saudi,Full,2011,3.0,113000,99000
GS,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2018,5.0,95000,250000
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2020,2.5,21367,148500
Durango,Taef,Dodge,Automatic,Saudi,Full,2020,3.6,36500,130000
CLA,Riyadh,Mercedes,Automatic,Other,Standard,2020,2.0,10000,195000
Land Cruiser,Tabouk,Toyota,Manual,Saudi,Semi Full,1993,4.6,400,12000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,56536,47000
Hilux,Jeddah,Toyota,Manual,Saudi,Semi Full,2019,2.7,23000,90000
Victoria,Khobar,Ford,Automatic,Saudi,Standard,2011,4.6,176000,50000
Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
Accord,Dammam,Honda,Automatic,Saudi,Full,2009,2.4,159000,36000
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2019,1.5,49000,95000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,1.4,72000,36500
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,359000,32000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,197000,92000
Camry,Riyadh,Toyota,Manual,Saudi,Semi Full,2004,2.5,400000,15000
Furniture,Dammam,Toyota,Automatic,Saudi,Full,2015,4.0,26000,52000
Focus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,145000,14000
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2004,4.0,400000,9000
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.0,117000,39000
Range Rover,Al-Ahsa,Land Rover,Automatic,Other,Full,2015,2.8,102000,158000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,13000,420000
Explorer,Riyadh,Ford,Automatic,Saudi,Full,2013,3.5,14606,83500
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,55893,40500
Tucson,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,22000,80000
Other,Dammam,Nissan,Manual,Saudi,Standard,2016,2.5,106000,65000
Camry,Al-Medina,Toyota,Automatic,Saudi,Full,2016,2.5,222000,58000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,5.7,68534,224500
Accord,Tabouk,Honda,Automatic,Saudi,Full,2012,3.5,300,36000
Other,Dammam,Nissan,Automatic,Saudi,Full,2019,2.4,87000,55000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2018,2.0,69000,82000
Other,Taef,Generalis Motors,Automatic,Saudi,Full,2008,1.8,260,14000
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2012,5.4,182000,42500
Cruze,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2017,1.8,101000,30000
LX,Dammam,Lexus,Automatic,Saudi,Full,2014,5.7,150000,190000
C300,Al-Ahsa,Chrysler,Automatic,Other,Semi Full,2017,3.6,77000,82000
Avalon,Makkah,Toyota,Automatic,Saudi,Full,2011,3.5,150000,58000
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.4,133000,48000
Other,Riyadh,Other,Manual,Saudi,Standard,2018,3.0,116000,92000
Other,Jeddah,Honda,Automatic,Gulf Arabic,Full,2010,2.7,105000,35000
Echo Sport,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2021,1.5,1900,55000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,380000,43000
3,Dammam,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,59000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,17000,1430
Yaris,Riyadh,Toyota,Automatic,Saudi,Semi Full,2019,1.6,18000,36000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2015,5.3,150000,100000
S,Al-Namas,Mercedes,Automatic,Other,Full,1995,3.0,200000,15000
S,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,300000,188000
Corolla,Riyadh,Toyota,Manual,Saudi,Standard,2014,2.0,276,23900
Azera,Jeddah,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,56500
Rio,Jeddah,Kia,Manual,Saudi,Standard,2008,1.0,323880,9000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,215000,28000
FJ,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,6.0,50000,140000
Yukon,Dammam,Generalis Motors,Automatic,Other,Full,2016,5.3,213000,146000
CX9,Dammam,Mazda,Automatic,Other,Full,2017,3.0,93000,111000
A6,Riyadh,Audi,Automatic,Saudi,Semi Full,2013,3.0,75000,70000
CLS,Jeddah,Mercedes,Automatic,Saudi,Full,2014,3.5,88000,110000
Grand Cherokee,Khobar,Jeep,Automatic,Saudi,Full,2020,3.6,52000,162000
Tahoe,Abha,Generalis Motors,Automatic,Saudi,Standard,2016,5.3,217000,87000
Range Rover,Makkah,Land Rover,Automatic,Saudi,Semi Full,2016,4.0,72000,280000
Charger,Jeddah,Dodge,Automatic,Saudi,Full,2017,5.7,64000,145000
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2018,2.7,201000,85000
S,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2015,4.0,157000,215000
Sonata,Qassim,Hyundai,Automatic,Other,Semi Full,2016,2.4,152000,52000
A8,Dammam,Audi,Automatic,Saudi,Full,2016,3.0,42000,165000
Fusion,Riyadh,Ford,Automatic,Other,Full,2017,2.0,55000,65000
Tahoe,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2012,5.3,250385,47500
Expedition,Aseer,Ford,Automatic,Saudi,Semi Full,2007,5.4,300,18000
Silverado,Jubail,Generalis Motors,Automatic,Saudi,Semi Full,2018,5.3,112000,77000
Other,Qassim,Other,Manual,Other,Full,2019,8.0,24643,330000
Altima,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,3.0,85000,58000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,79000,30000
Other,Jeddah,Generalis Motors,Automatic,Other,Full,1999,1.5,200000,11500
Land Cruiser,Al-Medina,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,9000,350000
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,264000,65000
Land Cruiser Pickup,Riyadh,Nissan,Manual,Saudi,Full,2012,4.8,339822,40000
Other,Khobar,Toyota,Automatic,Saudi,Semi Full,2021,1.5,9000,59500
Impala,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,3.6,63118,73500
Yaris,Abha,Toyota,Automatic,Saudi,Standard,2011,1.3,300500,14000
Other,Riyadh,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
Cadenza,Yanbu,Kia,Automatic,Saudi,Semi Full,2020,3.3,17000,95000
Land Cruiser,Tabouk,Toyota,Manual,Other,Full,1995,4.6,300000,20000
